Customer_id,Loan_id,StartDate_ID,EndDate_ID,LoanAmount,InterestRate
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,2,541,10966,32428.9,2.12
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,3,424,6860,31406.77,4.63
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
2,5,750,6364,27873.08,7.03
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,6,1225,7058,25666.75,6.84
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
3,7,1491,6618,23853.85,7.41
