Transaction_id,Account_id,OpeningDate_ID,Amount,TransactionDate_ID
4,9,1322,463.13,246
4,10,1322,463.13,246
4,524,1322,463.13,246
4,525,1322,463.13,246
4,1262,1322,463.13,246
4,1263,1322,463.13,246
4,9,1322,463.13,246
4,10,1322,463.13,246
4,524,1322,463.13,246
4,525,1322,463.13,246
4,1262,1322,463.13,246
4,1263,1322,463.13,246
8,14,310,256.62,873
8,307,310,256.62,873
8,433,310,256.62,873
8,620,310,256.62,873
8,773,310,256.62,873
8,950,310,256.62,873
8,1095,310,256.62,873
9,15,895,272.21,1243
9,1288,895,272.21,1243
11,17,1029,369.25,1033
11,18,1029,369.25,1033
11,19,1029,369.25,1033
11,856,1029,369.25,1033
11,857,1029,369.25,1033
11,858,1029,369.25,1033
11,970,1029,369.25,1033
11,971,1029,369.25,1033
11,972,1029,369.25,1033
11,1495,1029,369.25,1033
11,1496,1029,369.25,1033
11,1497,1029,369.25,1033
11,17,1029,369.25,1033
11,18,1029,369.25,1033
11,19,1029,369.25,1033
11,856,1029,369.25,1033
11,857,1029,369.25,1033
11,858,1029,369.25,1033
11,970,1029,369.25,1033
11,971,1029,369.25,1033
11,972,1029,369.25,1033
11,1495,1029,369.25,1033
11,1496,1029,369.25,1033
11,1497,1029,369.25,1033
11,17,1029,369.25,1033
11,18,1029,369.25,1033
11,19,1029,369.25,1033
11,856,1029,369.25,1033
11,857,1029,369.25,1033
11,858,1029,369.25,1033
11,970,1029,369.25,1033
11,971,1029,369.25,1033
11,972,1029,369.25,1033
11,1495,1029,369.25,1033
11,1496,1029,369.25,1033
11,1497,1029,369.25,1033
12,20,982,295.89,641
12,370,982,295.89,641
12,884,982,295.89,641
12,1264,982,295.89,641
12,1490,982,295.89,641
13,21,1039,344.01,1160
13,22,1039,344.01,1160
13,23,1039,344.01,1160
13,405,1039,344.01,1160
13,406,1039,344.01,1160
13,407,1039,344.01,1160
13,889,1039,344.01,1160
13,890,1039,344.01,1160
13,891,1039,344.01,1160
13,21,1039,344.01,1160
13,22,1039,344.01,1160
13,23,1039,344.01,1160
13,405,1039,344.01,1160
13,406,1039,344.01,1160
13,407,1039,344.01,1160
13,889,1039,344.01,1160
13,890,1039,344.01,1160
13,891,1039,344.01,1160
13,21,1039,344.01,1160
13,22,1039,344.01,1160
13,23,1039,344.01,1160
13,405,1039,344.01,1160
13,406,1039,344.01,1160
13,407,1039,344.01,1160
13,889,1039,344.01,1160
13,890,1039,344.01,1160
13,891,1039,344.01,1160
15,25,212,452.34,61
15,596,212,452.34,61
15,850,212,452.34,61
15,920,212,452.34,61
15,1012,212,452.34,61
15,1086,212,452.34,61
16,26,602,416.56,1188
16,941,602,416.56,1188
16,952,602,416.56,1188
16,999,602,416.56,1188
18,30,375,355.49,851
18,688,375,355.49,851
18,703,375,355.49,851
18,771,375,355.49,851
18,1136,375,355.49,851
18,1138,375,355.49,851
18,1252,375,355.49,851
19,31,1195,56.89,465
19,276,1195,56.89,465
19,363,1195,56.89,465
19,604,1195,56.89,465
19,843,1195,56.89,465
19,892,1195,56.89,465
19,1045,1195,56.89,465
20,32,512,40.97,842
20,265,512,40.97,842
20,456,512,40.97,842
20,595,512,40.97,842
20,682,512,40.97,842
20,813,512,40.97,842
20,1361,512,40.97,842
22,34,978,68.11,867
22,274,978,68.11,867
22,580,978,68.11,867
22,842,978,68.11,867
22,1514,978,68.11,867
22,1532,978,68.11,867
23,35,1180,125.53,391
23,154,1180,125.53,391
23,1104,1180,125.53,391
23,1182,1180,125.53,391
23,1269,1180,125.53,391
23,1540,1180,125.53,391
25,39,671,236.09,315
25,40,671,236.09,315
25,41,671,236.09,315
25,42,671,236.09,315
25,338,671,236.09,315
25,339,671,236.09,315
25,340,671,236.09,315
25,341,671,236.09,315
25,506,671,236.09,315
25,507,671,236.09,315
25,508,671,236.09,315
25,509,671,236.09,315
25,621,671,236.09,315
25,622,671,236.09,315
25,623,671,236.09,315
25,624,671,236.09,315
25,1187,671,236.09,315
25,1188,671,236.09,315
25,1189,671,236.09,315
25,1190,671,236.09,315
25,1475,671,236.09,315
25,1476,671,236.09,315
25,1477,671,236.09,315
25,1478,671,236.09,315
25,39,671,236.09,315
25,40,671,236.09,315
25,41,671,236.09,315
25,42,671,236.09,315
25,338,671,236.09,315
25,339,671,236.09,315
25,340,671,236.09,315
25,341,671,236.09,315
25,506,671,236.09,315
25,507,671,236.09,315
25,508,671,236.09,315
25,509,671,236.09,315
25,621,671,236.09,315
25,622,671,236.09,315
25,623,671,236.09,315
25,624,671,236.09,315
25,1187,671,236.09,315
25,1188,671,236.09,315
25,1189,671,236.09,315
25,1190,671,236.09,315
25,1475,671,236.09,315
25,1476,671,236.09,315
25,1477,671,236.09,315
25,1478,671,236.09,315
25,39,671,236.09,315
25,40,671,236.09,315
25,41,671,236.09,315
25,42,671,236.09,315
25,338,671,236.09,315
25,339,671,236.09,315
25,340,671,236.09,315
25,341,671,236.09,315
25,506,671,236.09,315
25,507,671,236.09,315
25,508,671,236.09,315
25,509,671,236.09,315
25,621,671,236.09,315
25,622,671,236.09,315
25,623,671,236.09,315
25,624,671,236.09,315
25,1187,671,236.09,315
25,1188,671,236.09,315
25,1189,671,236.09,315
25,1190,671,236.09,315
25,1475,671,236.09,315
25,1476,671,236.09,315
25,1477,671,236.09,315
25,1478,671,236.09,315
25,39,671,236.09,315
25,40,671,236.09,315
25,41,671,236.09,315
25,42,671,236.09,315
25,338,671,236.09,315
25,339,671,236.09,315
25,340,671,236.09,315
25,341,671,236.09,315
25,506,671,236.09,315
25,507,671,236.09,315
